Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Labra,T26,"2021-12-17 10:09:00",8410297115219,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8411902004089,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:09:00",5449000169327,1,2010005681140
Labra,T26,"2021-12-17 10:09:00",8480017001924,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",5449000000774,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",5449000058560,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",5449000000774,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",8425561010022,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",84116345,1,2010005681140
Labra,T26,"2021-12-17 10:10:00",8431876099980,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:10:00",8437017318026,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:10:00",8422174010029,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 10:10:00",8437019978129,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Lugo Llanero",T60,"2021-12-17 10:18:00",8431876011944,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:18:00",8431876011944,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:18:00",8431876011944,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:18:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:18:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:19:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:19:00",3245678089668,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Lugo Llanero",T60,"2021-12-17 10:19:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:19:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:19:00",5449000131843,1,2010007118880
"Lugo Llanero",T60,"2021-12-17 10:19:00",8410297115707,1,2010007118880
"Av Castilla",T75,"2021-12-17 10:20:00",8410297112041,1,2010008283082
"Av Castilla",T75,"2021-12-17 10:20:00",8410297112041,1,2010008283082
"Lugo Llanero",T60,"2021-12-17 10:25:00",7611612501712,1,2010006825772
"Parque Principado",T68,"2021-12-17 10:21:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:21:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:21:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:21:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410297112386,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8411327722018,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
"Parque Principado",T68,"2021-12-17 10:22:00",8410128010225,1,2010009730806
